Name	Type	Location	Value
 %1633	float	%1633	0.00000000
 %1634	float	%1634	0.00000000
 %1635	integer	%1635	2 (2.80259693e-45)
 %1636	integer	%1636	2 (2.80259693e-45)
 %1637	integer	%1637	1 (1.40129846e-45)
 %1639	integer	%1639	24 (3.36311631e-44)
 %1641	integer	%1641	31 (4.34402524e-44)
 %1643	integer	%1643	10 (1.40129846e-44)
 %1646	float	%1646	0.0352783203
 %1647	integer	%1647	77 (1.07899982e-43)
 %1648	float	%1648	0.952880859
 %1649	integer	%1649	3 (4.20389539e-45)
 %1650	float	%1650	0.442562521
 %1651	float	%1651	1.59687781
 %1652	float	%1652	0.514634371
 %1653	float	%1653	-0.433010638
 %1654	float	%1654	-1.63843358
 %1655	float	%1655	0.509816706
 %1656	float	%1656	-0.705814362
 %1657	float	%1657	2.50108910
 %1658	float	%1658	-0.650480211
 %1659	float	%1659	-0.269122928
 %1660	float	%1660	1.55981112
 %1661	float	%1661	2.56919813
 %1662	float	%1662	0.00000000
 %1663	float	%1663	0.00000000
 %1664	integer	%1664	77 (1.07899982e-43)
 %1665	integer	%1665	11343 (1.58949285e-41)
 %1668	integer	%1668	77 (1.07899982e-43)
 %1669	integer	%1669	2103 (2.94693067e-42)
 %1672	integer	%1672	77 (1.07899982e-43)
 %1673	integer	%1673	2793 (3.91382661e-42)
 %1676	float	%1676	0.835147321
 %1677	float	%1677	-1.81095994
 %1678	float	%1678	-0.151538163
 %1679	float	%1679	0.00000000
 %1681	float	%1681	1.25626981
 %1682	float	%1682	0.695821643
 %1683	float	%1683	-1.39198935
 %1684	float	%1684	0.00000000
 %1686	float	%1686	1.31313801
 %1687	float	%1687	0.486074060
 %1688	float	%1688	1.42808211
 %1690	float	%1690	-0.621701241
 %1691	float	%1691	3.41386080
 %1692	float	%1692	2.61815834
 %1693	float	%1693	0.0352783203
 %1694	float	%1694	0.472025126
 %1695	float	%1695	-1.70232117
 %1696	float	%1696	-0.655826211
 %1697	float	%1697	0.00000000
 %1698	float	%1698	1.64119685
 %1699	float	%1699	0.534364104
 %1700	float	%1700	-0.318229973
 %1701	float	%1701	0.00000000
 %1702	float	%1702	0.560959697
 %1703	float	%1703	-0.688666463
 %1704	float	%1704	1.61019146
 %1705	float	%1705	-0.454943210
 %1706	float	%1706	2.62152433
 %1707	float	%1707	2.66156244
 %1708	float	%1708	0.988159180
 %1709	integer	%1709	4 (5.60519386e-45)
 %1710	integer	%1710	1 (1.40129846e-45)
 %1712	integer	%1712	3 (4.20389539e-45)
 %1714	integer	%1714	77 (1.07899982e-43)
 %1716	float	%1716	0.0352783203
 %1718	float	%1718	0.00000000
 %1719	integer	%1719	0 (0.00000000)
 %1720	float	%1720	0.996002197
 %1721	integer	%1721	1 (1.40129846e-45)
 %1722	float	%1722	0.468616128
 %1723	float	%1723	1.65090334
 %1724	float	%1724	0.572800875
 %1725	float	%1725	-0.425859302
 %1726	float	%1726	-1.71709275
 %1727	float	%1727	0.535471201
 %1728	float	%1728	-0.693826675
 %1729	float	%1729	2.65502024
 %1730	float	%1730	-0.659855068
 %1731	float	%1731	-0.330502272
 %1732	float	%1732	1.61909151
 %1733	float	%1733	2.69717336
 %1734	float	%1734	0.00000000
 %1735	float	%1735	0.00000000
 %1736	integer	%1736	0 (0.00000000)
 %1737	integer	%1737	11266 (1.57870285e-41)
 %1740	integer	%1740	103 (1.44333742e-43)
 %1741	integer	%1741	2129 (2.98336443e-42)
 %1744	integer	%1744	103 (1.44333742e-43)
 %1745	integer	%1745	2819 (3.95026037e-42)
 %1748	float	%1748	0.782337964
 %1749	float	%1749	-1.27053916
 %1750	float	%1750	-1.00681722
 %1751	float	%1751	0.00000000
 %1753	float	%1753	0.638071895
 %1754	float	%1754	1.26903355
 %1755	float	%1755	-1.10563052
 %1756	float	%1756	0.00000000
 %1758	float	%1758	1.49023867
 %1759	float	%1759	0.123641387
 %1760	float	%1760	1.00194943
 %1762	float	%1762	1.32847571
 %1763	float	%1763	0.737850904
 %1764	float	%1764	1.75122261
 %1765	float	%1765	0.00000000
 %1766	float	%1766	0.468616128
 %1767	float	%1767	-1.71709275
 %1768	float	%1768	-0.659855068
 %1769	float	%1769	0.00000000
 %1770	float	%1770	1.65090334
 %1771	float	%1771	0.535471201
 %1772	float	%1772	-0.330502272
 %1773	float	%1773	0.00000000
 %1774	float	%1774	0.572800875
 %1775	float	%1775	-0.693826675
 %1776	float	%1776	1.61909151
 %1777	float	%1777	-0.425859302
