"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[21684]",,"2855","7228","0","1.45126","-7.36988","0.2","26.8665","-0.62793","0.734863","-0.256592","201","255"
"[21685]",,"2870","7228","0","1.64862","-7.48954","0.2","26.9852","-0.797852","0.452881","-0.397461","201","255"
"[21686]",,"2664","7228","0","1.49499","-7.52497","0.2","26.8358","-0.844238","0.414551","-0.339355","201","255"
"[21687]",,"2870","7229","0","1.64862","-7.48954","0.2","26.9852","-0.797852","0.452881","-0.397461","201","255"
"[21688]",,"2855","7229","0","1.45126","-7.36988","0.2","26.8665","-0.62793","0.734863","-0.256592","201","255"
"[21689]",,"2856","7229","0","1.61238","-7.35844","0.2","27.0111","-0.598145","0.727539","-0.336182","201","255"
"[21690]",,"2948","7230","0","1.76191","-7.36757","0.2","27.1505","-0.563477","0.713379","-0.416992","201","255"
"[21691]",,"2870","7230","0","1.64862","-7.48954","0.2","26.9852","-0.797852","0.452881","-0.397461","201","255"
"[21692]",,"2856","7230","0","1.61238","-7.35844","0.2","27.0111","-0.598145","0.727539","-0.336182","201","255"
"[21693]",,"2635","7231","0","1.57372","-7.26209","0.2","27.0695","-0.256104","0.934082","-0.248169","201","255"
"[21694]",,"2948","7231","0","1.76191","-7.36757","0.2","27.1505","-0.563477","0.713379","-0.416992","201","255"
"[21695]",,"2856","7231","0","1.61238","-7.35844","0.2","27.0111","-0.598145","0.727539","-0.336182","201","255"
"[21696]",,"2759","7232","0","1.36476","-7.84461","0.2","27.1048","0.462158","-0.790039","-0.402832","201","255"
"[21697]",,"2636","7232","0","1.48244","-7.83539","0.2","27.0383","0.00302887","-0.942383","-0.33374","201","255"
"[21698]",,"2776","7232","0","1.42828","-7.78569","0.2","27.1378","0.391357","-0.898438","-0.198242","201","255"
"[21699]",,"2636","7233","0","1.48244","-7.83539","0.2","27.0383","0.00302887","-0.942383","-0.33374","201","255"
