"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[1486]",,"1672","495","0","-5.74448","-9.7245","0.2","25.5516","-0.390625","0.61084","0.688477","201","255"
"[1487]",,"1577","495","0","-5.75953","-9.67637","0.2","25.6178","0.248901","0.652344","0.716309","201","255"
"[1488]",,"1672","496","0","-5.74448","-9.7245","0.2","25.5516","-0.390625","0.61084","0.688477","201","255"
"[1489]",,"1580","496","0","-5.79273","-9.79284","0.2","25.6242","0.26001","0.666016","0.699219","201","255"
"[1490]",,"1577","496","0","-5.75953","-9.67637","0.2","25.6178","0.248901","0.652344","0.716309","201","255"
"[1491]",,"1580","497","0","-5.79273","-9.79284","0.2","25.6242","0.26001","0.666016","0.699219","201","255"
"[1492]",,"1672","497","0","-5.74448","-9.7245","0.2","25.5516","-0.390625","0.61084","0.688477","201","255"
"[1493]",,"1641","497","0","-5.79023","-9.83524","0.2","25.5724","-0.319824","0.59082","0.740723","201","255"
"[1494]",,"2030","498","0","-5.51627","-9.84632","0.2","25.8172","0.961426","-0.233521","-0.145508","201","255"
"[1495]",,"1844","498","0","-5.47599","-9.67859","0.2","25.8321","0.930664","-0.361816","0.0499878","201","255"
"[1496]",,"1843","498","0","-5.6072","-9.74671","0.2","25.8312","0.993164","-0.102478","-0.0576782","201","255"
"[1497]",,"1841","499","0","-5.51225","-9.58998","0.2","25.8288","0.957031","-0.272949","0.0970459","201","255"
"[1498]",,"1843","499","0","-5.6072","-9.74671","0.2","25.8312","0.993164","-0.102478","-0.0576782","201","255"
"[1499]",,"1844","499","0","-5.47599","-9.67859","0.2","25.8321","0.930664","-0.361816","0.0499878","201","255"
"[1500]",,"1843","500","0","-5.6072","-9.74671","0.2","25.8312","0.993164","-0.102478","-0.0576782","201","255"
"[1501]",,"1841","500","0","-5.51225","-9.58998","0.2","25.8288","0.957031","-0.272949","0.0970459","201","255"
"[1502]",,"1581","500","0","-5.62674","-9.63564","0.2","25.8044","0.944824","0.220581","0.243164","201","255"
"[1503]",,"1833","501","0","-5.71259","-9.74728","0.2","25.7651","0.849609","0.171509","0.498779","201","255"
"[1504]",,"1843","501","0","-5.6072","-9.74671","0.2","25.8312","0.993164","-0.102478","-0.0576782","201","255"
"[1505]",,"1581","501","0","-5.62674","-9.63564","0.2","25.8044","0.944824","0.220581","0.243164","201","255"
"[1506]",,"1581","502","0","-5.62674","-9.63564","0.2","25.8044","0.944824","0.220581","0.243164","201","255"
"[1507]",,"1832","502","0","-5.71584","-9.67984","0.2","25.7204","0.679199","0.466309","0.566895","201","255"
"[1508]",,"1833","502","0","-5.71259","-9.74728","0.2","25.7651","0.849609","0.171509","0.498779","201","255"
"[1509]",,"1832","503","0","-5.71584","-9.67984","0.2","25.7204","0.679199","0.466309","0.566895","201","255"
"[1510]",,"1581","503","0","-5.62674","-9.63564","0.2","25.8044","0.944824","0.220581","0.243164","201","255"
"[1511]",,"1582","503","0","-5.6276","-9.56926","0.2","25.7663","0.751465","0.483887","0.448486","201","255"
"[1512]",,"1375","504","0","-5.62527","-9.50433","0.2","25.7049","0.405762","0.768066","0.495605","201","255"
"[1513]",,"1832","504","0","-5.71584","-9.67984","0.2","25.7204","0.679199","0.466309","0.566895","201","255"
"[1514]",,"1582","504","0","-5.6276","-9.56926","0.2","25.7663","0.751465","0.483887","0.448486","201","255"
"[1515]",,"1832","505","0","-5.71584","-9.67984","0.2","25.7204","0.679199","0.466309","0.566895","201","255"
"[1516]",,"1375","505","0","-5.62527","-9.50433","0.2","25.7049","0.405762","0.768066","0.495605","201","255"
"[1517]",,"1333","505","0","-5.711","-9.60742","0.2","25.6365","0.261475","0.775391","0.574707","201","255"
"[1518]",,"1844","506","0","-5.47599","-9.67859","0.2","25.8321","0.930664","-0.361816","0.0499878","201","255"
"[1519]",,"2030","506","0","-5.51627","-9.84632","0.2","25.8172","0.961426","-0.233521","-0.145508","201","255"
