submesh,gpu_id,vertex_id,error_exact,error_translation_only,error_affine,late_x,late_y,late_z,pix_x,pix_y,pix_z
Wing,GpuId7157,5591,0.463639623,0.598536589,0.520802931,9.457667351,-6.390107632,0.697726727,-1.759250000,-25.203800000,20.264800000
Wing,GpuId7157,3231,0.439170044,0.577209620,0.520326421,7.097996712,-2.954157591,2.181645632,-1.841460000,-18.946500000,22.824300000
Wing,GpuId7157,5135,0.439170044,0.577209620,0.520326421,7.097996712,-2.954157591,2.181645632,-1.841460000,-18.946500000,22.824300000
Wing,GpuId7157,3224,0.437775309,0.574826878,0.516562965,7.320613384,-3.145577192,2.097172260,-1.787340000,-19.310500000,22.598300000
Wing,GpuId7157,5133,0.437775309,0.574826878,0.516562965,7.320613384,-3.145577192,2.097172260,-1.787340000,-19.310500000,22.598300000
Wing,GpuId7157,3524,0.438598331,0.571379940,0.515949813,6.823680878,-3.312806129,1.605837822,-2.445700000,-19.604200000,22.693000000
Wing,GpuId7157,5631,0.437625054,0.571061009,0.515619230,6.859932899,-3.303009510,1.574737549,-2.451930000,-19.590800000,22.650600000
Wing,GpuId7157,5624,0.436593091,0.573668660,0.515299447,7.376392365,-3.132124186,2.106599331,-1.751490000,-19.292800000,22.558700000
Wing,GpuId7157,653,0.418528358,0.550153590,0.515276048,-9.059481621,-5.951043606,1.803267241,-11.370600000,-22.586800000,36.196600000
Wing,GpuId7157,2054,0.418528358,0.550153590,0.515276048,-9.059481621,-5.951043606,1.803267241,-11.370600000,-22.586800000,36.196600000
Wing,GpuId7157,266,0.419689823,0.550403160,0.515253636,-9.139643669,-5.794194221,2.084210396,-11.198400000,-22.290300000,36.415100000
Wing,GpuId7157,5563,0.457502482,0.593715808,0.514954894,9.570180893,-6.705377102,0.414548874,-1.928140000,-25.777700000,20.053400000
Wing,GpuId7157,5748,0.429209640,0.569730273,0.514785886,7.006683350,-2.754009724,2.058748245,-1.992600000,-18.597700000,22.848800000
Wing,GpuId7157,5749,0.426889999,0.569398151,0.513761198,7.276586056,-2.528426886,2.452485800,-1.541280000,-18.198000000,22.881700000
Wing,GpuId7157,3504,0.457540419,0.592252069,0.512245815,9.756822586,-6.319113731,1.162351608,-1.220070000,-25.084900000,20.283200000
Wing,GpuId7157,5086,0.457540419,0.592252069,0.512245815,9.756822586,-6.319113731,1.162351608,-1.220070000,-25.084900000,20.283200000
